Fri Dec 18 14:06:17 2015    profile

         22048 function calls (21536 primitive calls) in 5.588 seconds

   Ordered by: internal time, file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3246    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/result.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ctypeslib.py:51(<module>)
      666    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/string.py:162(convert)
       70    0.000    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:256(_optimize_charset)
        1    0.000    0.000    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/polynomial.py:4(<module>)
3247/3142    0.000    0.000    0.000    0.000 {len}
     1622    0.000    0.000    0.000    0.000 {isinstance}
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/scanner.py:2(<module>)
        1    0.000    0.000    0.014    0.014 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/type_check.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/matrixlib/defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/fft/__init__.py:1(<module>)
      502    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/__init__.py:99(<module>)
       31    0.000    0.000    0.008    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re.py:230(_compile)
      756    0.000    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:212(get)
        1    0.000    0.000    0.028    0.028 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/add_newdocs.py:10(<module>)
    81/29    0.000    0.000    0.004    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:317(_parse_sub)
        1    0.000    0.000    0.003    0.003 natnet_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/runner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:82(<module>)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/matrixlib/__init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/fft/fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/__init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/loader.py:1(<module>)
       70    0.000    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:228(_compile_charset)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/main.py:1(<module>)
       29    0.000    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:433(_compile_info)
      272    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 {__import__}
      121    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/decoder.py:2(<module>)
      523    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:206(match)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/_iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:2563(MaskedArray)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/_internal.py:6(<module>)
       31    0.000    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:159(formatargspec)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/utils.py:152(deprecate)
       29    0.000    0.000    0.008    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:567(compile)
       29    0.000    0.000    0.004    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:706(parse)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/fromnumeric.py:3(<module>)
       89    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:428(_simple)
      388    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:149(append)
      463    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:337(<genexpr>)
        3    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numeric.py:346(extend_all)
        7    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
      906    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      392    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:137(__len__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/signals.py:1(<module>)
      544    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/scimath.py:17(<module>)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/utils.py:1(<module>)
       38    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
       31    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:61(getargs)
      272    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:7(<module>)
       19    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/testing/nosetester.py:140(__init__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/extras.py:10(<module>)
       66    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:304(_add_aliases)
        3    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/ctypes/__init__.py:78(CFUNCTYPE)
